Time,Temperature,ProcessTemperature,AgentType,AgentFlow,SampleType,CatalystType,CatalystRatio,Hydrogen,Experiment_Group
23,700,700,Air,0.05,TWTS,No Catalyst,0.0,7.0,53
24,700,700,Air,0.05,TWTS,No Catalyst,0.0,10.0,53
25,700,700,Air,0.05,TWTS,No Catalyst,0.0,12.0,53
26,700,700,Air,0.05,TWTS,No Catalyst,0.0,14.0,53
27,700,700,Air,0.05,TWTS,No Catalyst,0.0,16.0,53
28,700,700,Air,0.05,TWTS,No Catalyst,0.0,16.0,53
29,700,700,Air,0.05,TWTS,No Catalyst,0.0,16.0,53
30,700,700,Air,0.05,TWTS,No Catalyst,0.0,15.0,53
31,700,700,Air,0.05,TWTS,No Catalyst,0.0,14.0,53
32,700,700,Air,0.05,TWTS,No Catalyst,0.0,14.0,53
33,700,700,Air,0.05,TWTS,No Catalyst,0.0,15.0,53
34,700,700,Air,0.05,TWTS,No Catalyst,0.0,17.0,53
35,700,700,Air,0.05,TWTS,No Catalyst,0.0,17.0,53
36,700,700,Air,0.05,TWTS,No Catalyst,0.0,16.0,53
37,700,700,Air,0.05,TWTS,No Catalyst,0.0,14.0,53
38,700,700,Air,0.05,TWTS,No Catalyst,0.0,12.0,53
39,700,700,Air,0.05,TWTS,No Catalyst,0.0,10.0,53
40,700,700,Air,0.05,TWTS,No Catalyst,0.0,10.0,53
41,700,700,Air,0.05,TWTS,No Catalyst,0.0,10.0,53
42,700,700,Air,0.05,TWTS,No Catalyst,0.0,10.0,53
43,700,700,Air,0.05,TWTS,No Catalyst,0.0,9.0,53
44,700,700,Air,0.05,TWTS,No Catalyst,0.0,7.0,53
45,700,700,Air,0.05,TWTS,No Catalyst,0.0,7.0,53
46,700,700,Air,0.05,TWTS,No Catalyst,0.0,7.0,53
47,700,700,Air,0.05,TWTS,No Catalyst,0.0,7.0,53
48,700,700,Air,0.05,TWTS,No Catalyst,0.0,8.0,53
49,700,700,Air,0.05,TWTS,No Catalyst,0.0,7.0,53
50,700,700,Air,0.05,TWTS,No Catalyst,0.0,7.0,53
51,700,700,Air,0.05,TWTS,No Catalyst,0.0,6.0,53
52,700,700,Air,0.05,TWTS,No Catalyst,0.0,6.0,53
1,10,700,Air,0.1,TWTS,No Catalyst,0.0,0.0,33
2,11,700,Air,0.1,TWTS,No Catalyst,0.0,0.0,33
3,12,700,Air,0.1,TWTS,No Catalyst,0.0,0.0,33
4,16,700,Air,0.1,TWTS,No Catalyst,0.0,0.0,33
5,25,700,Air,0.1,TWTS,No Catalyst,0.0,0.0,33
6,48,700,Air,0.1,TWTS,No Catalyst,0.0,0.0,33
7,70,700,Air,0.1,TWTS,No Catalyst,0.0,0.0,33
8,102,700,Air,0.1,TWTS,No Catalyst,0.0,0.0,33
9,140,700,Air,0.1,TWTS,No Catalyst,0.0,0.0,33
10,185,700,Air,0.1,TWTS,No Catalyst,0.0,0.0,33
11,290,700,Air,0.1,TWTS,No Catalyst,0.0,0.0,33
12,350,700,Air,0.1,TWTS,No Catalyst,0.0,0.0,33
13,402,700,Air,0.1,TWTS,No Catalyst,0.0,1.0,33
14,453,700,Air,0.1,TWTS,No Catalyst,0.0,1.0,33
15,513,700,Air,0.1,TWTS,No Catalyst,0.0,1.0,33
16,540,700,Air,0.1,TWTS,No Catalyst,0.0,1.0,33
17,575,700,Air,0.1,TWTS,No Catalyst,0.0,1.0,33
18,617,700,Air,0.1,TWTS,No Catalyst,0.0,2.0,33
19,632,700,Air,0.1,TWTS,No Catalyst,0.0,4.0,33
20,656,700,Air,0.1,TWTS,No Catalyst,0.0,6.0,33
21,680,700,Air,0.1,TWTS,No Catalyst,0.0,8.0,33
22,700,700,Air,0.1,TWTS,No Catalyst,0.0,10.0,33
23,700,700,Air,0.1,TWTS,No Catalyst,0.0,12.0,33
24,700,700,Air,0.1,TWTS,No Catalyst,0.0,14.0,33
25,700,700,Air,0.1,TWTS,No Catalyst,0.0,13.0,33
26,700,700,Air,0.1,TWTS,No Catalyst,0.0,13.0,33
27,700,700,Air,0.1,TWTS,No Catalyst,0.0,13.0,33
28,700,700,Air,0.1,TWTS,No Catalyst,0.0,12.0,33
29,700,700,Air,0.1,TWTS,No Catalyst,0.0,12.0,33
30,700,700,Air,0.1,TWTS,No Catalyst,0.0,12.0,33
31,700,700,Air,0.1,TWTS,No Catalyst,0.0,12.0,33
32,700,700,Air,0.1,TWTS,No Catalyst,0.0,11.0,33
33,700,700,Air,0.1,TWTS,No Catalyst,0.0,11.0,33
34,700,700,Air,0.1,TWTS,No Catalyst,0.0,11.0,33
35,700,700,Air,0.1,TWTS,No Catalyst,0.0,11.0,33
36,700,700,Air,0.1,TWTS,No Catalyst,0.0,10.0,33
37,700,700,Air,0.1,TWTS,No Catalyst,0.0,10.0,33
38,700,700,Air,0.1,TWTS,No Catalyst,0.0,10.0,33
39,700,700,Air,0.1,TWTS,No Catalyst,0.0,10.0,33
40,700,700,Air,0.1,TWTS,No Catalyst,0.0,10.0,33
1,10,700,Air,0.2,TWTS,No Catalyst,0.0,0.0,23
2,11,700,Air,0.2,TWTS,No Catalyst,0.0,0.0,23
3,12,700,Air,0.2,TWTS,No Catalyst,0.0,0.0,23
4,16,700,Air,0.2,TWTS,No Catalyst,0.0,0.0,23
5,25,700,Air,0.2,TWTS,No Catalyst,0.0,0.0,23
6,48,700,Air,0.2,TWTS,No Catalyst,0.0,0.0,23
8,70,700,Air,0.2,TWTS,No Catalyst,0.0,0.0,23
9,102,700,Air,0.2,TWTS,No Catalyst,0.0,0.0,23
10,140,700,Air,0.2,TWTS,No Catalyst,0.0,0.0,23
11,185,700,Air,0.2,TWTS,No Catalyst,0.0,0.0,23
12,290,700,Air,0.2,TWTS,No Catalyst,0.0,0.0,23
13,350,700,Air,0.2,TWTS,No Catalyst,0.0,0.0,23
14,402,700,Air,0.2,TWTS,No Catalyst,0.0,1.0,23
15,453,700,Air,0.2,TWTS,No Catalyst,0.0,1.0,23
16,513,700,Air,0.2,TWTS,No Catalyst,0.0,1.0,23
17,540,700,Air,0.2,TWTS,No Catalyst,0.0,1.0,23
18,575,700,Air,0.2,TWTS,No Catalyst,0.0,1.0,23
19,617,700,Air,0.2,TWTS,No Catalyst,0.0,1.0,23
20,632,700,Air,0.2,TWTS,No Catalyst,0.0,2.0,23
21,656,700,Air,0.2,TWTS,No Catalyst,0.0,4.0,23
22,680,700,Air,0.2,TWTS,No Catalyst,0.0,6.0,23
23,700,700,Air,0.2,TWTS,No Catalyst,0.0,9.0,23
24,700,700,Air,0.2,TWTS,No Catalyst,0.0,11.0,23
25,700,700,Air,0.2,TWTS,No Catalyst,0.0,13.0,23
26,700,700,Air,0.2,TWTS,No Catalyst,0.0,13.0,23
27,700,700,Air,0.2,TWTS,No Catalyst,0.0,12.0,23
28,700,700,Air,0.2,TWTS,No Catalyst,0.0,12.0,23
29,700,700,Air,0.2,TWTS,No Catalyst,0.0,12.0,23
30,700,700,Air,0.2,TWTS,No Catalyst,0.0,12.0,23
31,700,700,Air,0.2,TWTS,No Catalyst,0.0,11.0,23
32,700,700,Air,0.2,TWTS,No Catalyst,0.0,11.0,23
33,700,700,Air,0.2,TWTS,No Catalyst,0.0,11.0,23
34,700,700,Air,0.2,TWTS,No Catalyst,0.0,11.0,23
