Time;Temperature;ProcessTemperature;AgentType;AgentFlow;SampleType;CatalystType;CatalystRatio;Hydrogen
8;102;800;Air;0.05;TWTS;No Catalyst;0;0
9;140;800;Air;0.05;TWTS;No Catalyst;0;0
10;185;800;Air;0.05;TWTS;No Catalyst;0;0
11;290;800;Air;0.05;TWTS;No Catalyst;0;0
12;350;800;Air;0.05;TWTS;No Catalyst;0;0
13;402;800;Air;0.05;TWTS;No Catalyst;0;0
14;453;800;Air;0.05;TWTS;No Catalyst;0;1
15;513;800;Air;0.05;TWTS;No Catalyst;0;1
16;540;800;Air;0.05;TWTS;No Catalyst;0;1
17;575;800;Air;0.05;TWTS;No Catalyst;0;1
18;617;800;Air;0.05;TWTS;No Catalyst;0;1
19;632;800;Air;0.05;TWTS;No Catalyst;0;1
20;656;800;Air;0.05;TWTS;No Catalyst;0;2
21;680;800;Air;0.05;TWTS;No Catalyst;0;4
22;700;800;Air;0.05;TWTS;No Catalyst;0;6
23;702;800;Air;0.05;TWTS;No Catalyst;0;8
24;720;800;Air;0.05;TWTS;No Catalyst;0;10
25;737;800;Air;0.05;TWTS;No Catalyst;0;13
26;754;800;Air;0.05;TWTS;No Catalyst;0;15
27;768;800;Air;0.05;TWTS;No Catalyst;0;16
28;784;800;Air;0.05;TWTS;No Catalyst;0;18
29;797;800;Air;0.05;TWTS;No Catalyst;0;19
30;800;800;Air;0.05;TWTS;No Catalyst;0;19
31;800;800;Air;0.05;TWTS;No Catalyst;0;20
32;800;800;Air;0.05;TWTS;No Catalyst;0;18
33;800;800;Air;0.05;TWTS;No Catalyst;0;17
34;800;800;Air;0.05;TWTS;No Catalyst;0;16
35;800;800;Air;0.05;TWTS;No Catalyst;0;15
36;800;800;Air;0.05;TWTS;No Catalyst;0;14
37;800;800;Air;0.05;TWTS;No Catalyst;0;13
38;800;800;Air;0.05;TWTS;No Catalyst;0;12
39;800;800;Air;0.05;TWTS;No Catalyst;0;11
40;800;800;Air;0.05;TWTS;No Catalyst;0;10
41;800;800;Air;0.05;TWTS;No Catalyst;0;10
1;6;900;Air;0.05;TWTS;No Catalyst;0;0
2;9;900;Air;0.05;TWTS;No Catalyst;0;0
3;12;900;Air;0.05;TWTS;No Catalyst;0;0
4;15;900;Air;0.05;TWTS;No Catalyst;0;0
5;18;900;Air;0.05;TWTS;No Catalyst;0;0
6;28;900;Air;0.05;TWTS;No Catalyst;0;0
7;47;900;Air;0.05;TWTS;No Catalyst;0;0
8;77;900;Air;0.05;TWTS;No Catalyst;0;0
9;118;900;Air;0.05;TWTS;No Catalyst;0;0
10;167;900;Air;0.05;TWTS;No Catalyst;0;0
11;226;900;Air;0.05;TWTS;No Catalyst;0;0
12;290;900;Air;0.05;TWTS;No Catalyst;0;0
13;355;900;Air;0.05;TWTS;No Catalyst;0;0
14;413;900;Air;0.05;TWTS;No Catalyst;0;1
15;466;900;Air;0.05;TWTS;No Catalyst;0;1
16;510;900;Air;0.05;TWTS;No Catalyst;0;1
17;549;900;Air;0.05;TWTS;No Catalyst;0;1
18;581;900;Air;0.05;TWTS;No Catalyst;0;1
19;610;900;Air;0.05;TWTS;No Catalyst;0;2
20;636;900;Air;0.05;TWTS;No Catalyst;0;3
21;659;900;Air;0.05;TWTS;No Catalyst;0;4
22;682;900;Air;0.05;TWTS;No Catalyst;0;6
23;702;900;Air;0.05;TWTS;No Catalyst;0;8
24;720;900;Air;0.05;TWTS;No Catalyst;0;10
25;737;900;Air;0.05;TWTS;No Catalyst;0;13
26;754;900;Air;0.05;TWTS;No Catalyst;0;15
27;768;900;Air;0.05;TWTS;No Catalyst;0;17
28;784;900;Air;0.05;TWTS;No Catalyst;0;18
29;797;900;Air;0.05;TWTS;No Catalyst;0;20
30;810;900;Air;0.05;TWTS;No Catalyst;0;21
31;823;900;Air;0.05;TWTS;No Catalyst;0;22
32;835;900;Air;0.05;TWTS;No Catalyst;0;23
33;847;900;Air;0.05;TWTS;No Catalyst;0;23
34;859;900;Air;0.05;TWTS;No Catalyst;0;23
35;869;900;Air;0.05;TWTS;No Catalyst;0;22
36;879;900;Air;0.05;TWTS;No Catalyst;0;22
37;889;900;Air;0.05;TWTS;No Catalyst;0;21
38;900;900;Air;0.05;TWTS;No Catalyst;0;21
39;900;900;Air;0.05;TWTS;No Catalyst;0;20
40;900;900;Air;0.05;TWTS;No Catalyst;0;19
41;900;900;Air;0.05;TWTS;No Catalyst;0;18
42;900;900;Air;0.05;TWTS;No Catalyst;0;17
43;900;900;Air;0.05;TWTS;No Catalyst;0;16
44;900;900;Air;0.05;TWTS;No Catalyst;0;15
45;900;900;Air;0.05;TWTS;No Catalyst;0;14
46;900;900;Air;0.05;TWTS;No Catalyst;0;14
1;6;1000;Air;0.05;TWTS;No Catalyst;0;0
2;9;1000;Air;0.05;TWTS;No Catalyst;0;0
3;12;1000;Air;0.05;TWTS;No Catalyst;0;0
4;15;1000;Air;0.05;TWTS;No Catalyst;0;0
5;18;1000;Air;0.05;TWTS;No Catalyst;0;0
6;28;1000;Air;0.05;TWTS;No Catalyst;0;0
7;47;1000;Air;0.05;TWTS;No Catalyst;0;1
8;77;1000;Air;0.05;TWTS;No Catalyst;0;1
9;118;1000;Air;0.05;TWTS;No Catalyst;0;1
10;167;1000;Air;0.05;TWTS;No Catalyst;0;1
11;226;1000;Air;0.05;TWTS;No Catalyst;0;1
12;290;1000;Air;0.05;TWTS;No Catalyst;0;1
13;355;1000;Air;0.05;TWTS;No Catalyst;0;1
14;413;1000;Air;0.05;TWTS;No Catalyst;0;1
15;466;1000;Air;0.05;TWTS;No Catalyst;0;1
16;510;1000;Air;0.05;TWTS;No Catalyst;0;2
17;549;1000;Air;0.05;TWTS;No Catalyst;0;4
18;581;1000;Air;0.05;TWTS;No Catalyst;0;7
19;610;1000;Air;0.05;TWTS;No Catalyst;0;10
20;636;1000;Air;0.05;TWTS;No Catalyst;0;14
21;659;1000;Air;0.05;TWTS;No Catalyst;0;17
22;682;1000;Air;0.05;TWTS;No Catalyst;0;20
23;702;1000;Air;0.05;TWTS;No Catalyst;0;23
24;720;1000;Air;0.05;TWTS;No Catalyst;0;25
25;737;1000;Air;0.05;TWTS;No Catalyst;0;26
26;754;1000;Air;0.05;TWTS;No Catalyst;0;27
27;768;1000;Air;0.05;TWTS;No Catalyst;0;28
28;784;1000;Air;0.05;TWTS;No Catalyst;0;29
29;797;1000;Air;0.05;TWTS;No Catalyst;0;30
30;810;1000;Air;0.05;TWTS;No Catalyst;0;31
31;823;1000;Air;0.05;TWTS;No Catalyst;0;31
32;835;1000;Air;0.05;TWTS;No Catalyst;0;32
33;847;1000;Air;0.05;TWTS;No Catalyst;0;33
34;859;1000;Air;0.05;TWTS;No Catalyst;0;33
35;869;1000;Air;0.05;TWTS;No Catalyst;0;34
36;879;1000;Air;0.05;TWTS;No Catalyst;0;35
37;889;1000;Air;0.05;TWTS;No Catalyst;0;35
38;900;1000;Air;0.05;TWTS;No Catalyst;0;36
39;915;1000;Air;0.05;TWTS;No Catalyst;0;36
40;930;1000;Air;0.05;TWTS;No Catalyst;0;36
41;945;1000;Air;0.05;TWTS;No Catalyst;0;36
42;960;1000;Air;0.05;TWTS;No Catalyst;0;35
43;975;1000;Air;0.05;TWTS;No Catalyst;0;34
44;985;1000;Air;0.05;TWTS;No Catalyst;0;32
45;995;1000;Air;0.05;TWTS;No Catalyst;0;29
46;1000;1000;Air;0.05;TWTS;No Catalyst;0;27
47;1000;1000;Air;0.05;TWTS;No Catalyst;0;25
48;1000;1000;Air;0.05;TWTS;No Catalyst;0;23
49;1000;1000;Air;0.05;TWTS;No Catalyst;0;22
50;1000;1000;Air;0.05;TWTS;No Catalyst;0;21
51;1000;1000;Air;0.05;TWTS;No Catalyst;0;20
52;1000;1000;Air;0.05;TWTS;No Catalyst;0;19
53;1000;1000;Air;0.05;TWTS;No Catalyst;0;18
54;1000;1000;Air;0.05;TWTS;No Catalyst;0;17
55;1000;1000;Air;0.05;TWTS;No Catalyst;0;16
56;1000;1000;Air;0.05;TWTS;No Catalyst;0;16
57;1000;1000;Air;0.05;TWTS;No Catalyst;0;16
58;1000;1000;Air;0.05;TWTS;No Catalyst;0;15
59;1000;1000;Air;0.05;TWTS;No Catalyst;0;14
60;1000;1000;Air;0.05;TWTS;No Catalyst;0;14
61;1000;1000;Air;0.05;TWTS;No Catalyst;0;13
62;1000;1000;Air;0.05;TWTS;No Catalyst;0;13
63;1000;1000;Air;0.05;TWTS;No Catalyst;0;12
64;1000;1000;Air;0.05;TWTS;No Catalyst;0;12
65;1000;1000;Air;0.05;TWTS;No Catalyst;0;12
66;1000;1000;Air;0.05;TWTS;No Catalyst;0;11
67;1000;1000;Air;0.05;TWTS;No Catalyst;0;11
68;1000;1000;Air;0.05;TWTS;No Catalyst;0;11
69;1000;1000;Air;0.05;TWTS;No Catalyst;0;11
70;1000;1000;Air;0.05;TWTS;No Catalyst;0;11
71;1000;1000;Air;0.05;TWTS;No Catalyst;0;10
72;1000;1000;Air;0.05;TWTS;No Catalyst;0;10
1;6;800;Air;0.1;TWTS;No Catalyst;0;0
2;9;800;Air;0.1;TWTS;No Catalyst;0;0
3;12;800;Air;0.1;TWTS;No Catalyst;0;0
4;15;800;Air;0.1;TWTS;No Catalyst;0;0
5;18;800;Air;0.1;TWTS;No Catalyst;0;0
6;28;800;Air;0.1;TWTS;No Catalyst;0;0
7;47;800;Air;0.1;TWTS;No Catalyst;0;0
8;77;800;Air;0.1;TWTS;No Catalyst;0;0
9;118;800;Air;0.1;TWTS;No Catalyst;0;0
10;167;800;Air;0.1;TWTS;No Catalyst;0;0
11;226;800;Air;0.1;TWTS;No Catalyst;0;0
12;290;800;Air;0.1;TWTS;No Catalyst;0;0
